GGXWDN_NGDP	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Afghanistan																																									
Albania	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.988	67.814	64.968	61.898	58.543	62.839	58.825	56.451	57.444	56.079	53.427	55.134	59.667	57.720	59.413	62.020	70.091	72.522	73.305	70.192	65.577	61.032	56.306	51.411
Algeria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000	77.834	62.926	74.028	98.376	116.195	98.148	69.855	72.863	82.019	62.813	52.372	48.591	33.712	25.109	2.850	-7.611	-20.445	-29.933	-32.489	-28.722	-27.105	-23.303	-25.149	-16.835	-6.432	3.736	10.644	15.185	18.457	20.595
Angola																																									
Antigua and Barbuda																																									
Argentina																																									
Armenia																																									
Australia	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.942	9.585	12.607	18.228	22.041	23.272	23.060	21.300	18.179	14.662	11.048	7.145	4.703	2.767	0.754	-1.230	-3.813	-6.319	-7.267	-5.293	-0.598	3.930	8.077	11.232	13.236	15.632	17.453	18.296	18.150	17.248	16.087	14.860
Austria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.432	49.199	47.883	48.683	47.847	46.700	45.640	44.411	43.315
Azerbaijan																																									
The Bahamas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.157	28.216	31.741	33.801	33.963	33.567	30.539	26.540	25.221	24.476	23.588	24.807	26.601	27.596	29.298	29.554	29.982	32.346	38.399	43.241	44.996	48.445	56.273	60.894	62.112	62.218	61.771	61.158	60.578	59.948
Bahrain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-19.856	-13.486	-7.204	-8.813	-11.438	-0.203	-2.753	-0.760	4.760	10.565	12.661	13.698	16.155	20.119	29.398	24.195	20.253	16.344	12.562	21.361	29.704	32.498	36.201	43.462	43.762	66.748	77.760	85.883	93.314	100.332	107.335
Bangladesh																																									
Barbados	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.165	41.673	38.729	34.679	30.000	29.061	32.159	36.319	32.274	30.103	28.438	26.923	29.415	31.419	34.926	44.614	47.602	50.166	58.950	69.268	72.901	75.070	77.000	77.888	77.987	77.490	76.515
Belarus																																									
Belgium	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	90.281	85.344	80.168	76.368	73.404	72.230	66.182	64.371	60.813	54.258	54.986	60.945	59.487	60.565	62.321	63.993	64.566	65.802	66.323	66.090	65.217	63.961	62.425
Belize	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.375	87.642	100.349	97.724	95.893	90.632	85.976	79.750	83.663	83.212	79.393	74.977	75.224	75.330	77.244	99.913	97.630	96.840	95.921	95.130
Benin																																									
Bhutan																																									
Bolivia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.930	51.729	62.116	66.444	81.006	71.088	41.886	27.258	20.607	23.144	18.382	14.429	11.039	10.136	13.228	20.571	27.353	32.766	37.190	40.595	47.821
Bosnia and Herzegovina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.737	53.361	32.238	30.842	26.469	22.171	19.734	19.116	13.169	4.387	21.601	27.256	32.082	33.680	37.702	36.140	38.103	38.968	38.723	37.912	37.000	35.438	33.371
Botswana																																									
