"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.56390609","23.83743034","23.23849591","28.70354938","20.77702145","19.0780762","19.23781887","19.99027288","21.97569102","22.69979118","22.00786746","22.74847803","21.25189523","21.25189523","21.25189523","21.25189523","21.25152439","23.14447185","23.14447185","","",
"Afghanistan","AFG","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.70540218","1.37848555","1.85403022","1.12318565","1.47236479","1.37592821","2.61890711","2.96703579","3.49847424","3.49629877","7.06667863","7.06667863","","",
"Angola","AGO","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.30652591","2.88964591","4.42347355","3.28673857","2.6156206","2.86228173","5.77493003","3.68696962","4.77198017","6.36621675","6.24301675","9.56466557","6.41749359","6.46499472","6.02081277","6.30076733","5.58480059","5.57268633","7.74022355","","",
"Albania","ALB","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.51378745","6.62760291","6.75492041","6.30005144","7.18862706","7.07697796","7.25259439","7.19203721","7.76289649","9.17533619","9.66766224","9.04057427","8.88017452","8.36560747","8.46326188","8.46326188","9.84636723","9.84636723","9.84636723","","",
"Arab World","ARB","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.08588825","7.12947285","8.75743505","7.99770555","8.13529435","7.82311643","8.0717239","8.10868686","8.33183033","8.15389461","9.12109078","9.51504927","9.49500698","9.45767522","9.35313711","9.36987932","9.3857131","9.40043601","9.37934925","","",
"Argentina","ARG","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.29528311","15.169567","15.01153954","14.94599591","15.0660066","14.71575742","14.21054829","15.25587207","14.47050204","14.70109148","13.94955867","13.84329821","13.28555069","13.3768333","14.38218901","17.35834126","21.73508176","22.46108249","31.76050069","","",
"Armenia","ARM","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.30391229","8.43477769","7.70579418","7.68096046","6.56334647","5.26357812","7.6576139","7.02800385","7.87952865","8.02397087","10.23427085","11.33176388","10.41632671","7.00308606","6.71988178","6.96755326","7.3988546","7.86261567","7.85030588","","",
"American Samoa","ASM","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.89552239","12","12","12","11.84538653","11.42215511","10.74844608","9.54299898","11.28172822","10.6863954","12.08262533","10.07154291","10.80802478","12.2680413","11.38425212","16.35557274","15.17565915","17.15825866","14.66961566","","",
"Australia","AUS","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.08019881","13.59860039","14.5054543","14.53776036","15.40762267","15.12565425","15.37321763","16.29144219","15.93841481","16.54006934","16.7333869","16.8444828","17.21908974","16.85870697","17.59511746","17.42352549","18.08742382","18.66458978","18.66458978","","",
"Austria","AUT","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.50739731","12.48998487","13.79345497","13.97450187","14.39786659","14.59700174","14.77117452","14.93489378","14.95513696","14.48931908","15.69837525","15.73087323","16.00658416","16.22625837","16.1805927","15.90636442","16.39722126","16.30610663","16.30610663","","",
"Azerbaijan","AZE","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.93309678","8.42568381","6.59079327","5.88636106","5.71042613","5.35368344","5.57275542","5.15132003","4.80265595","5.92115217","5.15284585","4.27429355","4.56771056","3.07215385","4.53831434","4.21557212","3.65643773","3.805179","3.4957035","","",
"Burundi","BDI","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.72588298","6.72588298","6.72588298","6.72588298","6.31221624","7.33442921","8.14292231","7.21216436","5.61188883","10.04451631","10.5750266","15.06966733","13.59836525","8.15939313","8.14239752","13.46539403","13.57892635","14.05947053","13.7194708","","",
"Belgium","BEL","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.21885255","11.79632106","11.44124372","11.71447689","12.01889746","12.34436419","12.73108147","12.54563255","13.81155981","14.54829001","13.76084208","14.41340956","14.45566382","14.89983297","15.0132059","15.04528926","14.9907427","14.86528168","15.56049787","","",
"Benin","BEN","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.44260929","11.16876659","10.24822371","12.47590489","12.53197064","9.98683094","11.97304389","9.67272133","10.72416554","10.83824584","11.05186976","12.13213867","9.79197171","9.27417574","8.98933293","11.87214301","12.67380965","13.46566198","10.65273728","","",
"Burkina Faso","BFA","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.05243931","11.13376148","9.14236373","9.80641654","9.31345782","8.7630929","9.81180705","11.93697709","12.52088125","15.34273973","18.66207578","15.20094231","15.55554223","18.91959399","14.67738071","15.71920612","14.92016667","13.52036794","13.52036794","","",
"Bangladesh","BGD","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.83539557","8.99574018","8.28222591","8.20796597","7.74103425","7.37623331","7.98387701","8.23316977","7.77576659","8.09033826","7.42211037","8.20619063","8.12437163","6.40405735","7.82087196","8.25004679","7.43187771","6.81176494","7.83915437","","",
"Bulgaria","BGR","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.52075","7.38650148","11.15987023","9.51663684","9.91456511","9.13133689","10.60944845","11.74209765","12.03183076","11.51964767","11.94226493","11.42261838","10.11713037","10.6338592","9.65181983","11.27942202","11.27942202","11.67245828","11.67245828","","",
"Bahrain","BHR","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.00436471","11.89762145","9.65062356","11.69950749","10.0535679","10.70518617","8.94205236","8.10614416","8.54389813","8.70582298","8.64948552","8.812304","9.35480777","9.78171479","10.72125869","9.08452427","8.66784911","9.34712667","10.63411351","","",
"Bahamas, The","BHS","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.24007303","13.90857302","14.10201375","14.14703434","14.66554788","14.78524743","13.78840381","15.04668389","15.23513827","15.56240957","14.73641167","17.13894616","16.80487176","18.19199819","17.65104954","17.63028862","16.29669303","15.13047272","13.96003879","","",
"Bosnia and Herzegovina","BIH","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.49623027","9.49623027","9.49623027","7.84204616","10.42603902","11.37497061","9.44221721","10.55080675","13.95244556","13.45329821","12.68822718","12.33783238","13.33555485","14.04785193","15.8384142","16.82362143","16.63476348","16.60164538","16.21221265","","",
"Belarus","BLR","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.50743436","11.45523432","12.11652223","10.10639099","9.96793146","10.08509937","10.12562744","9.82995307","10.30542091","10.78443505","10.45574111","9.46880502","9.08148529","7.8747379","8.39629426","13.39529256","12.99160749","13.21285743","13.45185911","","",
"Belize","BLZ","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.50289575","8.17013997","8.94773414","7.70627919","6.11404756","6.50624252","7.35602509","7.39083403","8.50126521","8.04553811","9.29538205","9.24635902","10.60845363","11.4598321","12.91270727","13.11900024","13.41403015","12.08527132","11.89689684","","",
"Bermuda","BMU","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.62442758","9.39846514","9.04940777","10.17398315","10.47658498","9.75589676","10.03247853","11.22315494","9.11880059","9.80076253","10.9048884","9.69622854","7.64015724","7.10596165","8.19205395","8.42134041","7.88117886","9.51052302","9.68433079","","",
"Brazil","BRA","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3604738","8.13038032","7.03160844","5.62540785","5.47975221","4.08448287","4.74593891","5.00335636","4.41139538","5.1466089","4.97638733","5.16962546","5.39960914","5.98616735","6.064482","10.73864901","9.27950494","7.89973821","6.92917832","","",
"Barbados","BRB","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.48481044","12.35976227","11.35252194","11.72650762","11.87022643","11.65834649","11.93035231","12.5886912","12.61846636","12.6544952","11.83150095","12.44763466","10.70132409","10.57097074","11.0263962","9.27888934","10.33222537","9.87080689","11.59758433","","",
"Brunei Darussalam","BRN","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.20987857","6.07561711","5.89437172","6.46402462","6.02388002","6.25523499","6.60654062","5.60336954","5.17891733","6.85763776","6.89815392","6.66781236","6.71876937","7.25949302","7.45723514","6.28589947","6.26804136","6.03234937","7.41950437","","",
"Bhutan","BTN","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.16501496","12.97646201","14.9836803","17.54265501","12.63908421","12.18622449","9.75370384","17.26420565","10.7423595","9.3030827","11.7635654","13.10283329","15.53450803","13.96071809","12.99998998","10.9715986","10.67678113","6.12996179","6.58151592","","",
"Botswana","BWA","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.52864293","5.81045462","6.36139617","5.68966362","5.88678509","7.40258345","9.70550171","10.63295451","7.18833409","9.58536156","11.77404719","10.41900998","8.97026831","8.03135046","7.78070398","8.6164979","8.75142236","8.75142236","8.75142236","","",
