"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.04159589","6.34820444","6.34619618","7.7856654","5.81291759","5.99720702","5.74884724","5.97846655","5.7793529","5.7169139","5.75163479","5.99685696","6.10248475","6.09609022","6.07707918","7.2786713","7.51231234","8.3020192","8.07364602","","",
"Afghanistan","AFG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1883526","9.30019842","9.24774288","8.75306857","8.5828413","8.41888586","9.60961025","8.48382362","8.45631755","8.06515515","8.47919927","8.09959347","","",
"Angola","AGO","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83242679","3.44775012","4.57851056","4.7045351","4.10987898","3.3906891","5.82113343","4.36041309","4.93052307","5.12110974","4.15800412","4.54243614","3.3831109","3.84493151","4.37059617","3.40825834","3.44237596","3.47405127","3.79896714","","",
"Albania","ALB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.55671263","7.43197435","7.56809993","6.94329921","6.86818989","6.2559844","6.00014389","6.48169625","6.26700723","6.38156698","6.11598197","5.86037319","6.10526057","5.86941583","5.79133716","5.33503467","5.71466404","5.62743862","5.88232793","","",
"Arab World","ARB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.80288140324763","3.80002522799563","3.92229429949441","4.15535097148523","4.25696018969103","4.07517003070428","4.40477875742687","4.44373045155344","4.22653223614157","3.98316627604643","3.63187467181871","3.59722427897116","3.70777677156487","3.5339221111768","4.62530313154567","4.15891084861997","4.09053884444105","4.18250551565142","4.13928188940646","","",
"United Arab Emirates","ARE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.63613172","2.45902483","2.48706386","2.62383797","2.47709277","2.18541173","2.48427471","2.71758452","2.64640839","2.46216067","2.32021817","2.32722148","2.48335626","2.66808304","3.64885078","3.39037229","3.13557856","2.96296681","3.20076382","","",
"Argentina","ARG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.31099274","8.02499359","8.36136161","8.53592553","9.35514932","9.21275669","9.37589012","8.31392968","8.21606274","6.84056093","6.84561938","6.68187053","6.49458405","6.66371839","7.63475841","6.55366875","6.3223026","6.75251249","7.27711746","","",
"Armenia","ARM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.41873606","5.7907572","5.76758904","5.75617179","5.68179057","6.25348348","5.94041648","5.40041921","5.56388068","5.50118169","5.25211644","4.57775072","4.30883082","3.79932298","4.54532196","4.56225906","3.71354491","4.48215825","4.51975354","","",
"American Samoa","ASM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.92419784","4.6632626","4.68195322","4.65400341","3.98505384","4.15570907","4.52040609","4.33842343","4.39669651","4.26065458","4.45380159","4.34016587","4.33641689","4.73297674","4.90132682","5.63709144","5.65964643","5.4223434","4.8666751","","",
"Australia","AUS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.25666298","7.43975994","7.49551","7.65924442","7.7856115","8.06789426","8.17470816","8.38662628","8.31452343","8.57031529","8.45097932","8.48707508","8.52679567","8.77944854","9.04188995","9.02292419","9.21146113","9.35603797","9.4353552","","",
"Austria","AUT","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.58176257","9.5332026","9.81247771","9.97160191","10.15828794","10.02436017","10.0936702","10.12228748","10.30353387","10.42830237","10.41869909","10.21766119","10.2616829","10.48960855","11.16982407","11.12956048","10.87288757","11.09671602","11.03413396","","",
"Azerbaijan","AZE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.79187601","6.12391391","5.45197597","5.43466004","5.35714447","4.67081301","4.48244097","4.46710558","6.56328804","7.92454395","7.86329594","6.16806759","5.09525293","4.37406647","5.85024048","5.3336001","5.00932503","5.36689762","5.57973455","","",
"Burundi","BDI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.45877158","5.41273904","5.00773218","5.74008165","5.59712588","6.2999267","6.76648528","7.07511723","7.14754325","9.72013011","10.10329961","11.59093133","10.02676743","7.85946357","6.96418727","8.82066864","8.58207122","8.20498282","8.01771651","","",
